,ref_id,ra,dec,filename,exp_num,image_id,r50,sersic_n_gim2d,flux,flux_error,aperture_a,aperture_b,aperture_theta,psf_fwhm,filter,aperture_x,aperture_y,I_auto
0,16288,150.76625,1.903497,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,17.2843,2.7645,2.17221,1.68157,1.10204,0.96795,1.1086,1.18573,NB685,1702.63,4006.15,22.113
1,16369,150.74914,1.887357,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,17.8686,0.62231,3.14001,1.72178,1.11391,0.896709,-29.1402,1.18573,NB685,1922.86,3773.13,21.959
2,16347,150.74524,1.890816,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,27.0772,0.60294,7.88781,2.11284,1.36822,1.19272,82.769,1.18573,NB685,1875.28,3720.2,21.113
3,16293,150.74041,1.902196,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,28.7056,0.99925,10.7879,2.31961,1.42108,1.30514,-4.505,1.18573,NB685,1719.05,3654.75,21.035
4,31214,150.75171,2.020221,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,26.6861,0.34755,29.9509,2.42963,1.36189,1.26224,60.4797,1.18573,NB685,86.8548,3809.87,20.265
5,31217,150.73916,2.017296,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,10.8687,1.6721,2.27234,1.68789,0.948423,0.918555,68.0284,1.18573,NB685,126.854,3638.2,22.34
6,31252,150.75779,1.99973,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,27.2545,1.1657,7.86377,2.07238,1.37143,1.02448,-58.4842,1.18573,NB685,373.087,3892.85,22.603
7,31295,150.75116,1.970871,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,12.3745,2.9324,3.52108,1.76435,1.15577,0.94446,60.2532,1.18573,NB685,773.446,3802.06,21.708
8,31221,150.75587,2.012662,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,21.5451,4.0692,10.3548,2.36048,1.45544,1.20775,-75.6673,1.18573,NB685,192.7,3866.72,20.702
9,31302,150.74817,1.967936,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,7.53981,4.5651,3.18538,1.68324,1.00773,0.976352,-76.8749,1.18573,NB685,813.905,3761.25,22.184
10,31248,150.74971,2.003345,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,15.7473,1.9674,2.12362,2.14651,1.26714,1.21157,54.8942,1.18573,NB685,322.242,3782.48,21.927
11,31300,150.73932,1.96914,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,7.28809,3.9694,5.92819,1.61866,1.00176,0.907247,-26.8319,1.18573,NB685,796.646,3640.54,21.515
12,31284,150.73893,1.981729,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,24.7451,0.73001,7.01618,1.91569,1.30057,0.951526,45.0341,1.18573,NB685,622.088,3635.22,21.579
13,31229,150.73995,2.007538,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,29.2425,0.72353,5.75011,2.09964,1.43199,0.934112,-24.5514,1.18573,NB685,263.12,3649.07,21.491
14,31236,150.73515,2.00474,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,12.8893,2.6736,12.7632,1.62963,0.984779,0.880001,-60.7298,1.18573,NB685,301.766,3583.47,20.83
15,31273,150.73048,1.983209,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,19.8705,0.61056,17.8223,1.79715,1.16192,0.968044,56.3345,1.18573,NB685,600.911,3519.84,20.345
16,31275,150.73054,1.984354,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,5.86863,4.9265,1.39136,1.42737,0.860984,0.857999,-66.8267,1.18573,NB685,585.018,3520.65,22.312
17,31272,150.73045,1.985537,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,21.3941,0.46006,8.03693,1.85856,1.20882,0.950685,75.8048,1.18573,NB685,568.581,3519.41,21.175
18,33104,150.72778,1.971059,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,9.70974,1.6517,1.54387,1.46159,0.92453,0.846094,-87.4262,1.18573,NB685,769.21,3483.06,22.482
19,31259,150.72934,1.995243,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,9.9031,2.182,4.33151,1.86527,1.08105,1.05092,77.3225,1.18573,NB685,433.562,3504.15,21.466
20,33032,150.72235,1.976299,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,11.2063,0.2807,3.08766,1.51203,0.952527,0.884596,82.0669,1.18573,NB685,696.137,3408.88,22.174
21,32714,150.72669,2.005034,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,27.7048,0.79701,8.21211,2.21168,1.38771,1.12075,-76.3606,1.18573,NB685,296.982,3467.78,21.784
22,32715,150.72669,2.004523,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,24.6001,0.76539,4.68795,2.12075,1.29095,1.10403,19.9157,1.18573,NB685,304.105,3467.79,21.836
23,32994,150.72129,1.977719,red_NightlyR11.paucam.12772.1003.0141.FT_NB615_NB685.2469553.std.01.fits,12772,6633881,9.69422,1.6918,4.57562,1.53643,0.923901,0.879324,59.0603,1.18573,NB685,676.352,3394.39,22.152
